Date,Year,Month,Rain,Max_T.,Min_T.,Cloud,Releted Hum.,Sea Level P.,Wind
2003-01-09,2003,1,0.0,13.4,10.7,0.0,91.0,1019.0,3.5
2004-01-09,2004,1,0.0,19.8,11.0,1.0,81.0,1018.1,3.8
2005-01-09,2005,1,0.0,24.0,15.0,0.0,60.0,1012.8,4.0
2006-01-09,2006,1,0.0,16.2,12.7,0.0,92.0,1014.8,3.0
2007-01-09,2007,1,0.0,20.7,12.1,1.0,91.0,1016.8,2.0
2008-01-09,2008,1,0.0,26.9,14.4,0.0,68.0,1013.8,3.0
2009-01-09,2009,1,0.0,28.0,15.4,0.0,67.0,1017.9,4.0
2010-01-09,2010,1,0.0,26.0,13.8,0.0,59.0,1014.0,3.0
2011-01-09,2011,1,0.0,26.3,14.2,3.0,69.0,1010.4,3.0
2012-01-09,2012,1,0.0,20.4,18.7,5.0,85.0,1015.7,2.0
2013-01-09,2013,1,0.0,15.0,7.2,0.0,81.0,1014.7,2.0
2014-01-09,2014,1,0.0,20.1,10.3,0.0,87.0,1015.6,2.0
2015-01-09,2015,1,0.0,23.3,13.7,0.0,78.0,1014.3,2.0
2016-01-09,2016,1,0.0,25.2,17.0,1.0,85.0,1013.2,2.0
2017-01-09,2017,1,0.0,27.3,13.8,0.0,63.0,1011.1,2.0
1988-01-10,1988,1,0.0,26.8,14.1,0.0,77.0,1016.7,2.0
1989-01-10,1989,1,0.0,23.4,13.3,0.0,67.0,1012.8,2.0
1990-01-10,1990,1,0.0,23.5,10.7,0.0,68.0,1014.7,3.5
1991-01-10,1991,1,0.0,22.5,16.5,7.0,79.0,1015.3,0.0
1992-01-10,1992,1,0.0,24.5,13.5,1.0,73.0,1018.4,0.0
1993-01-10,1993,1,0.0,22.8,17.2,5.0,78.0,1015.2,2.3
1994-01-10,1994,1,0.0,24.6,12.2,2.0,82.0,1013.7,2.0
1995-01-10,1995,1,4.0,26.5,14.4,2.0,76.0,1015.9,3.0
1996-01-10,1996,1,0.0,27.2,13.5,2.0,71.0,1013.2,2.5
1997-01-10,1997,1,0.0,27.0,12.6,0.0,66.0,1017.5,1.3
1998-01-10,1998,1,0.0,20.8,12.0,8.0,85.0,1015.7,1.2
1999-01-10,1999,1,0.0,24.3,15.3,1.0,69.0,1014.7,2.5
2000-01-10,2000,1,0.0,24.1,10.0,0.0,71.0,1013.7,1.0
2001-01-10,2001,1,0.0,23.0,14.0,1.0,52.0,1014.7,1.7
2002-01-10,2002,1,0.0,25.0,15.3,0.0,55.0,1017.6,2.0
2003-01-10,2003,1,0.0,16.0,10.4,3.0,92.0,1018.1,3.3
2004-01-10,2004,1,0.0,24.5,11.6,0.0,74.0,1017.5,4.0
2005-01-10,2005,1,0.0,25.1,11.8,0.0,62.0,1012.3,4.0
2006-01-10,2006,1,0.0,19.0,13.2,1.0,90.0,1014.4,3.0
2007-01-10,2007,1,0.0,24.5,11.6,0.0,73.0,1016.3,3.0
2008-01-10,2008,1,0.0,27.7,14.5,0.0,71.0,1012.7,3.0
2009-01-10,2009,1,0.0,26.8,14.2,0.0,67.0,1016.5,5.0
2010-01-10,2010,1,0.0,25.3,13.6,0.0,62.0,1014.4,3.8
2011-01-10,2011,1,0.0,23.1,12.5,0.0,63.0,1010.4,2.8
2012-01-10,2012,1,7.0,23.0,16.0,7.0,77.0,1015.3,2.0
2013-01-10,2013,1,0.0,18.2,7.6,0.0,80.0,1014.2,2.0
2014-01-10,2014,1,0.0,23.1,11.0,0.0,83.0,1016.1,2.0
2015-01-10,2015,1,0.0,23.8,13.2,0.0,72.0,1016.0,2.0
2016-01-10,2016,1,0.0,24.4,17.5,0.0,78.0,1016.2,2.0
2017-01-10,2017,1,0.0,25.6,14.0,2.0,59.0,1012.0,3.0
1988-01-11,1988,1,0.0,27.2,13.3,2.0,74.0,1017.0,2.0
1989-01-11,1989,1,0.0,23.0,9.7,0.0,65.0,1013.0,5.0
